ros_time_s,Lecturas_ValidasVerde
1762168438.5159,39.0000
1762168438.7944,30.0000
1762168439.0807,33.0000
1762168439.3057,26.0000
1762168439.5267,25.0000
1762168439.7563,26.0000
1762168439.9490,22.0000
1762168440.1465,23.0000
1762168440.3498,22.0000
1762168440.5295,21.0000
1762168440.7115,21.0000
1762168440.9034,23.0000
1762168441.0834,22.0000
1762168441.2631,24.0000
1762168441.4415,22.0000
1762168441.6044,22.0000
1762168441.7801,21.0000
1762168441.9509,23.0000
1762168442.1272,20.0000
1762168442.2850,21.0000
1762168442.4594,21.0000
1762168442.6241,21.0000
1762168442.8110,21.0000
1762168442.9841,20.0000
1762168443.1520,20.0000
1762168443.3054,21.0000
1762168443.4853,24.0000
1762168443.6633,18.0000
1762168443.8185,22.0000
1762168444.0031,20.0000
1762168444.1704,20.0000
1762168444.3378,23.0000
1762168444.5162,24.0000
1762168444.6712,22.0000
1762168444.8491,22.0000
1762168445.0032,23.0000
1762168445.1831,19.0000
1762168445.3614,22.0000
1762168445.5149,22.0000
1762168445.6948,24.0000
1762168445.8727,19.0000
1762168446.0271,21.0000
1762168446.2069,23.0000
1762168446.3857,22.0000
1762168446.5390,24.0000
1762168446.7048,22.0000
1762168446.8704,21.0000
1762168447.0616,22.0000
1762168447.2234,22.0000
1762168447.3810,20.0000
1762168447.5610,21.0000
1762168447.7140,25.0000
1762168447.8927,24.0000
1762168448.0741,25.0000
1762168448.2309,22.0000
1762168448.4086,27.0000
1762168448.5679,23.0000
1762168448.7464,23.0000
1762168448.9039,22.0000
1762168449.0723,22.0000
1762168449.2510,24.0000
1762168449.4050,25.0000
1762168449.5831,25.0000
1762168449.7387,24.0000
1762168449.9170,26.0000
1762168450.0881,28.0000
1762168450.2662,24.0000
1762168450.4211,26.0000
1762168450.5999,24.0000
1762168450.7533,27.0000
1762168450.9326,27.0000
1762168451.1047,20.0000
1762168451.2828,20.0000
1762168451.4366,26.0000
1762168451.5988,25.0000
1762168451.7786,24.0000
1762168451.9548,24.0000
1762168452.1274,25.0000
1762168452.2726,20.0000
1762168452.4509,25.0000
1762168452.6300,24.0000
1762168452.7909,23.0000
1762168452.9695,23.0000
1762168453.1244,24.0000
1762168453.3023,25.0000
1762168453.4563,25.0000
